Tweet,Sentiment
8 Murder Suspects Released Due to Lack #Africa #EastAfrica #Business #News https://t.co/G83MqBXR6w #Tanzania #Kenya #Uganda #Rwanda #Burundi,Negative
"Check out our latest blog post on Rwanda Gorilla Trekking, the Calving Season in the Serengeti and our 2017... https://t.co/0H2gX7oCy5",Positive
Parliament Insists Editors Must Appear #Africa #EastAfrica #Business #News https://t.co/4RvfaSjSDM #Tanzania #Kenya #Uganda #Rwanda #Burundi,Negative
"#Rwandabusiness  machinery   and   capital   goods   of 
industries also exempted for VAT #Rwanda New law",Negative
RT @Wamagaisa: 1994 we took refugees fleeing Genocide in Rwanda. 2 decades later Zimbabweans look enviously at Rwanda's economic progress #…,Negative
Govt Accused of ‘Favouring’ Besigye #Africa #EastAfrica #Business #News https://t.co/hZe8Sgx5Tl #Tanzania #Kenya #Uganda #Rwanda #Burundi,Negative
RT @eabizinfo: Schools Hurt By Inspection Fee #Africa #EastAfrica #Business #News https://t.co/q6FetJs407 #Tanzania #Kenya #Uganda #Rwanda…,Negative
Editors Snub MPs’ Summons Again #Africa #EastAfrica #Business #News https://t.co/tpjpQFW4aH #Tanzania #Kenya #Uganda #Rwanda #Burundi,Negative
Ibintu 10 byakongerera amahirwe yo kuba umukire #Rwanda https://t.co/InJVGCqROT https://t.co/FmJpCIhUNp,Negative
Ibintu 10 byakongerera amahirwe yo kuba umukire #Rwanda https://t.co/UQ650QfYiw https://t.co/cG4iudgw8a,Negative
Mbere yo gutanga #Kigeli yari yemeye gutaha mu gihugu cye ariko aza kwisubira https://t.co/JGpH0nkpIY @albcontact… https://t.co/5ICpyvx7X0,Negative
Schools Hurt By Inspection Fee #Africa #EastAfrica #Business #News https://t.co/q6FetJs407 #Tanzania #Kenya #Uganda #Rwanda #Burundi,Negative
RT @kigalitoday: Oda Gasinzigwa atorewe kuba umudepite muri EALA https://t.co/6tBBYWrkPX #Rwanda,Negative
Misenyi School Closed After Winds #Africa #EastAfrica #Business #News https://t.co/APTxmD2XrN #Tanzania #Kenya #Uganda #Rwanda #Burundi,Negative
10 Billion/ – Norway Assistance for R #Africa #EastAfrica #Business #News https://t.co/mzKXT2GW4V #Tanzania #Kenya #Uganda #Rwanda #Burundi,Negative
